2022/03/16 14:00:08 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"info","message":"eddycjy: blog-service","time":1647410408406498687}
2022/03/16 21:09:03 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: State必须是[0 1]中的一个","time":1647436143795539994}
2022/03/17 10:06:22 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: Name长度必须至少为3个字符","time":1647482782317483606}
2022/03/17 10:07:07 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1054: Unknown column 'modified_by' in 'field list'","time":1647482827028797063}
2022/03/17 10:11:32 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'modified_on' at row 1","time":1647483092048716992}
2022/03/17 10:20:01 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'modified_on' at row 1","time":1647483601149432117}
2022/03/17 10:22:34 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'modified_on' at row 1","time":1647483754496636870}
2022/03/17 10:22:59 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'modified_on' at row 1","time":1647483779425445696}
2022/03/17 10:41:12 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'modified_on' at row 1","time":1647484872119869235}
2022/03/17 10:57:29 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'modified_on' at row 1","time":1647485849377374740}
2022/03/17 11:02:19 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647486139921797668}
2022/03/17 11:02:34 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647486154830901590}
2022/03/17 11:10:05 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647486605168556925}
2022/03/17 11:11:42 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647486702540703030}
2022/03/17 11:19:49 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647487189649544959}
2022/03/17 11:52:09 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647489129153101778}
2022/03/17 13:32:07 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"svc.CreateTag err: Error 1366: Incorrect integer value: '\\xEF\\xBF\\xBD' for column 'created_on' at row 1","time":1647495127737708547}
2022/03/17 13:37:41 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647495461773443208}
2022/03/17 13:38:18 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647495498007206429}
2022/03/17 13:42:28 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647495748219617336}
2022/03/17 13:47:00 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647496020288341653}
2022/03/17 13:50:44 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: Id为必填字段","time":1647496244231959856}
2022/03/17 13:59:05 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647496745626022618}
2022/03/17 14:04:21 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647497061496163149}
2022/03/17 14:04:36 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段,ModifiedBy为必填字段","time":1647497076255068315}
2022/03/17 14:04:47 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647497087428989030}
2022/03/17 14:07:51 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647497271869637885}
2022/03/17 14:08:21 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647497301324429891}
2022/03/17 14:08:53 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ID为必填字段","time":1647497333510300420}
2022/03/17 14:14:32 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: Id为必填字段","time":1647497672175289814}
2022/03/17 14:14:37 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: Id为必填字段","time":1647497677092975572}
2022/03/17 14:29:30 {"callers":["/home/ubuntu/go-programming-tour-book/blog-service/main.go: 23 main.init.0"],"level":"error","message":"app.BindAndValid errs: ModifiedBy为必填字段","time":1647498570839338069}
